player_id,injury_type,injury_detail,injury_side,return_date,days_until_return,status_code,short_comment,long_comment
36071,Forearm,Strain,Right,2026-09-15,22.0,IL60,"Pivetta (forearm) will resume a rehab assignment with Single-A Lake Elsinore this week, Annie Heilbrunn of The San Diego Union-Tribune reports.","Pivetta had to exit his first rehab appearance earlier this month when he felt tightness in his right elbow, but he's bounce back quickly and is ready to test things out in a game again. The veteran right-hander has been sidelined since mid-April with a flexor strain and, given the length of his absence, is going to require multiple rehab starts."
41054,Elbow,Surgery,Left,2027-06-01,281.0,IL60,"Ragans underwent UCL repair surgery on his left elbow Wednesday, Anne Rogers of MLB.com reports.","It was unknown what type of procedure Ragans would need when the Royals announced last weekend that he was scheduled for surgery. Now confirmed to have undergone UCL repair surgery, the 28-year-old southpaw will officially miss the remainder of the season and is likely to remain out until midway through the 2027 campaign. He'll close the book on 2026 after putting up a 4.84 ERA and 1.42 WHIP alongside a 45:23 K:BB through 35.1 innings over eight starts."
4307825,Elbow,Inflammation,Right,2026-09-11,18.0,IL60,"Atlanta manager Walt Weiss said Monday that Strider (elbow) will begin a throwing progression this week, Chad Bishop of The Atlanta Journal-Constitution reports.","Mark Bowman of MLB.com previously reported Aug. 1 that Strider's locker at Truist Park was recently cleared out, which appeared to signal that Atlanta wasn't counting on the right-hander pitching again in 2026. However, with Strider having now been given the green light to start playing light catch, he now looks to have a chance at making it back on the mound before the end of the season. Strider, who has been on the shelf since June 13 due to right elbow inflammation, can't afford a setback during his throwing progression, as any hiccups would likely close the door on a return from the 60-day injured list. Given the time that he's missed, the 27-year-old will be in store for an extended buildup, and it's not a given that he'll be stretched out enough to handle a traditional starting role if/when he returns. Strider could still provide value to Atlanta as an opener or multi-inning weapon out of the bullpen down the stretch."
34984,Arm,Inflammation,Right,2026-09-08,15.0,IL15,"Soroka (arm) said Monday that he expects to return following a minimum 15-day stay on the injured list, Jody Jackson of DBacks.tv reports.","Soroka landed on the IL on Sunday with inflammation in his pitching arm, and the hurler believes he's merely going through a ""dead arm"" phase. While there is early optimism that the right-hander will be back on the active roster in two weeks, he will have to check several boxes of his rehab between now and then to make it a reality."
37515,Shoulder,Inflammation,Right,2026-09-30,37.0,IL60,"Woodruff did not undergo surgery on his right shoulder and is scheduled to begin a throwing program Wednesday, Curt Hogg of the Milwaukee Journal Sentinel reports.","Woodruff said in July that he would undergo season-ending capsule repair surgery on his right shoulder, but he first wanted to exhaust all his options before going under the knife. Imaging on his shoulder taken four weeks after he suffered his injury revealed unexpected healing, eliminating the need for the 33-year-old to undergo surgery. The Brewers will put him through a five-week throwing program before reevaluating him, per Hogg, which will keep Woodruff out through the end of the regular season but could enable him to pitch in the postseason if things go well."
42823,Finger,Abrasion,Right,2026-08-30,6.0,IL15,"Martin (finger) threw two simulated innings during a 35-pitch bullpen session Saturday, Bruce Levine of 670TheScore.com reports.","Martin has been on the injured list since last weekend with a finger blister, and manager Will Venable said that the right-hander may need just one more side session before heading out on a rehab assignment. Assuming he doesn't suffer any setbacks, Martin could be cleared to return from the IL around the time he's eligible Aug. 30."
39910,Elbow,Inflammation,Right,2026-09-01,8.0,IL60,"Gallen (elbow) threw two innings and 35 pitches to live hitters Thursday, Alex Weiner of Arizona Sports reports.","Gallen is next scheduled to throw a bullpen session Saturday after which the club will decide next steps. Arizona manager Torey Lovullo said there is a target date for Gallen and fellow injured starter Corbin Burnes (elbow), but the manager wasn't ready to reveal it and prefers to take the progression step-by-step before making any announcements."
41178,Forearm,Strain,Left,2026-09-22,29.0,IL15,"Yankees manager Aaron Boone said that Weathers (forearm) will be shut down from throwing for 2-to-4 weeks but has a ""great chance"" to pitch again before the end of the season, Bryan Hoch of MLB.com reports.","As expected, Weathers will need to miss more than the minimum 15 days after he sustained a left forearm flexor strain during his start in Saturday's 4-3 loss to the Blue Jays before landing on the injured list a day later. Boone noted that he anticipates Weathers returning this season ""in some capacity,"" which points to the southpaw coming back as a reliever once he eventually completes his throwing progression. Weathers had enjoyed a strong run of form in the second half before hitting the shelf, going 2-1 with a 2.27 ERA, 1.18 WHIP and 33:11 K:BB in 39.2 innings over his seven starts since the All-Star break."
4208281,Hip,Surgery,Right,2027-02-01,161.0,IL60,"Pepiot will undergo surgery on his right hip May 13 and miss the rest of the 2026 season, Ryan Bass of Rays.tv reports.","The right-hander landed on the injured list with hip inflammation late in spring training and was transferred to the 60-day injured list in mid-April after suffering a setback. Pepiot received an injection after the setback, but his hip felt ""unstable"" when playing catch a few days later, and he'll now end up missing the entirety of the 2026 campaign."
33837,Forearm,Inflammation,Right,2026-09-08,15.0,IL15,"Flaherty (forearm) threw a bullpen session Sunday in Kansas City, MLB.com reports.",The Tigers reportedly came away encouraged by how Flaherty looked in his first time getting back on a mound since he landed on the injured list July 21 due to right forearm flexor inflammation. Flaherty is expected to throw another side session within the next few days before he potentially moves on to facing hitters in live batting practice.
39635,Elbow,Surgery,Right,2028-02-01,526.0,IL60,"Greene (elbow) will be out for 12-to-18 months after undergoing his second Tommy John surgery Wednesday, Gordon Wittenmyer of The Cincinnati Enquirer reports.","The Reds had previously disclosed that Greene would require another operation on his elbow, and he ended up needing a full Tommy John repair. The right-hander's first Tommy John surgery came back in 2019, and he also had a procedure on his elbow earlier this year to remove bone chips. Greene will be out through the end of the 2027 season."
41201,Shoulder,Soreness,Left,2026-09-11,18.0,IL60,"Bubic (shoulder/elbow) is hoping to begin a minor-league rehab assignment around early September, MLB.com reports.","Bubic resumed a throwing progression while still with Kansas City in late July and was traded to the Dodgers on Aug. 3. The veteran hurler is continuing to try to work his way back from left shoulder discomfort and left elbow soreness, which has kept him on the IL since mid-May. Given the length of his absence, Bubic will almost certainly need to make several rehab appearances when he's ready to get into game action, which means that activation from the IL is unlikely to happen before mid-September. With that in mind, and given the Dodgers' deep rotation when healthy, the likeliest scenario for the left-hander to contribute to his new team this season is as a long-relief and/or emergency-starter option down the stretch and into the playoffs."
40944,Finger,Abrasion,Right,2026-09-01,8.0,IL15,"Cabrera pitched through a blister on his right middle finger during his start in Sunday's 11-4 loss to the Cardinals, Jesse Rogers of ESPN.com reports. He dropped to 5-5 on the season after striking out two batters while allowing seven earned runs on six hits and three walks across 3.2 innings.","Cabrera made his return to the Cubs on Sunday after spending nearly two months on the shelf while recovering from a left hamstring strain. The right-hander struggled out of the gate, surrendering a two-run home run to Alec Burleson in the first inning. The day didn't get much better from there, as Cabrera worked through traffic throughout the game and needed 77 pitches to record his 11 outs. The blister may have been a factor in Cabrera's struggles and could prompt the Cubs to reconsider his role, as manager Craig Counsell was non-committal after the game regarding whether the 28-year-old would receive another turn through the rotation or move to the bullpen. Cabrera previously landed on the injured list in May due to a similar issue."
4863321,Elbow,Inflammation,Left,2026-09-11,18.0,IL60,"Early (elbow) threw a 25-pitch bullpen session Saturday, Danielle Allentuck of The Washington Post reports.","Early encountered a setback in early August when he experienced minor left forearm tightness during a live batting practice session. The left-hander has now resumed mound work as he looks to join the Nationals' rotation sometime in September. Early has not pitched in a game since late June, and he went from the Red Sox to the Nationals in a late-July trade that sent Curtis Mead (wrist) to Boston."
4109034,Elbow,Inflammation,Right,2026-09-02,9.0,IL15,"The Cardinals placed Pallante on the 15-day injured list Friday with right elbow inflammation, Derrick Goold of the St. Louis Post-Dispatch reports.","Pallante felt some discomfort during his last start Monday in Cincinnati. He was cleared of structural damage, and the Cardinals are optimistic that he will be ready to return when his 15 days are up. Quinn Mathews will enter the St. Louis rotation in Pallante's place."
33722,Arm,Not Specified,Right,2027-02-01,161.0,IL60,The Pirates placed Keller on the 60-day injured list Monday due to a right arm teres major muscle injury.,"Keller's move to the IL comes just one day after he was lit up for seven earned runs on six hits and four walks in just two innings during Sunday's 10-2 loss to the Reds. The Pirates haven't provided an official recovery timeline for Keller, but his move to the 60-day IL makes him ineligible to be activated until Oct. 2, and the regular season concludes Sept. 27. The Pirates recalled Brandon Eisert from Triple-A Indianapolis to join the roster as a replacement for Keller, who ends his eighth MLB season with a 6-8 record, 5.29 ERA, 1.37 WHIP and 89:42 K:BB over 115.2 innings."
4622181,Ankle,Surgery,Right,2026-08-30,6.0,IL60,Leiter (ankle) allowed five runs (four earned) on three hits and two walks while striking out five over three-plus innings for Double-A Frisco on Thursday.,"Leiter made his second rehab start for the RoughRiders and threw 59 pitches (38 strikes). The right-hander was sharp the first two innings before unraveling in the third. He walked the leadoff batter in the fourth before being removed. Leiter told Kennedi Landry of MLB.com that there have been no discussions about continuing to buildup on assignment, but given his pitch count, another outing would not be surprising. The 26-year-old is rehabbing from arthroscopic surgery to remove a loose body in his right ankle on June 23."
34848,,,,,,,,
4424862,,,,,,,,
4692526,Elbow,Surgery,Right,2027-08-01,342.0,IL60,"The Cubs transferred Horton (elbow) to the 60-day injured list Saturday, Andy Martinez of Marquee Sports Network reports.","Horton will miss roughly 16 months after undergoing Tommy John surgery Thursday, so the Cubs will stash him away on the 60-day IL for the rest of the year. Corbin Martin was selected from Triple-A Iowa in a corresponding move."
39878,,,,,,,,
33860,Knee,Inflammation,Left,2026-08-28,4.0,IL15,"Lopez (knee) pitched four scoreless innings, allowing three hits and a walk while striking out four batters in a minor-league rehab start with Triple-A Gwinnett on Sunday.","Lopez was making his first rehab start since being placed on the 15-day injured list with left knee inflammation Aug. 2. The 32-year-old was impressive in his return to the mound, tossing 35 of his 50 total pitches for strikes. Lopez will likely require at least one more start with Gwinnett before Atlanta would consider activating him from the IL."
4916269,Elbow,Strain,Right,2026-09-01,8.0,IL60,"Nelson (elbow) threw 25 pitches in the bullpen Friday, Alex Weiner of Arizona Sports reports.","If Nelson comes out of Friday's session without issue, the right-hander will throw another one Tuesday. The Diamondbacks are leaning toward bringing Nelson back as a reliever, which will require a shorter ramp-up, as both Corbin Burnes (elbow) and Zac Gallen (elbow) are ahead of him."
39671,,,,,,,,
41022,,,,,,,,
31258,Forearm,Tendinitis,Right,2026-08-31,7.0,IL15,"Taillon (forearm) resumed a throwing program with some flat-ground work Tuesday, Arden Zwelling of Sportsnet.ca reports.","Taillon just landed on the 15-day injured list one week ago with right forearm tendinitis, so it's a good sign that he's already feeling well enough to throw. He has a chance to be back at the end of August when first eligible, though Taillon's role once reinstated looks uncertain."
4719068,Elbow,Surgery,Right,2027-04-01,220.0,IL60,"Dollander underwent an internal brace procedure on his right elbow Monday, Kevin Henry of The Denver Gazette reports.","Although Dollander managed to avoid undergoing a full Tommy John procedure, the operation will still put an early end to his second MLB season. He showed significant improvement in 2026, turning in a 3.89 ERA and 1.30 WHIP alongside a 47:18 K:BB in 44 innings across 10 appearances (three starts). A clearer timeline for his return could emerge as the 2027 campaign approaches."
33263,Shoulder,Strain,Right,2027-02-01,161.0,IL60,"Athletics manager Mark Kotsay said he does not expect Severino (shoulder) to return to a big-league mound this season, Martin Gallegos of MLB.com reports.","Severino, who has been on the injured list since May 30, is not expected to toe the slab again in 2026. Manager Mark Kotsay believes there is not enough time left in the season based on his progression during his current throwing program. The right-hander's final stats for the season include a 2-6 record, 4.16 ERA, 1.47 WHIP and 65:31 K:BB across 62.2 innings. Severino will enter the final year of his three-year, $67 million contract with the A's when he returns in 2027."
5190073,Elbow,Surgery,Right,2028-02-01,526.0,IL60,"Manager Matt Quatraro announced that Kolek is scheduled to undergo Tommy John surgery on his right elbow Wednesday, Joel Goldberg of Bally Sports Kansas City reports.","The right-hander headed for a second opinion on his strained right forearm last week and is now set to go under the knife. The full scope of the procedure isn't clear, but if it's standard Tommy John surgery, Kolek will miss the rest of the season and will likely be sidelined for the entirety of the 2027 campaign."
34999,Knee,Surgery,Right,2027-02-01,161.0,IL60,"Ponce underwent surgery Friday to repair the ACL in his right knee, Arden Zwelling of Sportsnet.ca reports.","Ponce sprained his right ACL in late March, which was a severe enough injury to require season-ending surgery, but he should be available for the start of spring training. He signed a three-year, $30 million contract with the Blue Jays in December after spending three seasons in Japan. Ponce's start against the Rockies on March 30 -- when he suffered his injury -- was his first appearance in an MLB game since 2021, when he played with the Pirates."
4918155,Elbow,Inflammation,Right,2026-08-30,6.0,IL15,Burrows (elbow) struck out five and permitted one hit and two walks over 4.2 scoreless innings in a rehab start with Triple-A Sugar Land on Thursday.,"After submitting a 5.99 ERA and 1.55 WHIP in 18 appearances (17 starts) for Houston to begin the season, Burrows was on his way to a demotion before landing on the injured list July 13 due to right elbow neuritis. However, after posting an 8:3 K:BB while allowing just four hits over nine innings between a pair of rehab starts with Sugar Land, Burrows is looking more likely to get another chance once he comes off the IL, especially given the current state of the back end of the Astros' rotation. Burrows was able to build up to 78 pitches Thursday, so he should be able to handle a standard workload if he ends up rejoining the rotation next week."
41462,Arm,Soreness,Right,2026-09-01,8.0,IL15,"Cecconi (arm) recently threw a bullpen session and is scheduled for another bullpen this week before beginning a rehab assignment, Tim Stebbins of MLB.com reports.","The right-hander landed on the injured list Aug. 7 due to arm fatigue and was apparently cleared throwing after an MRI came back clean over the weekend. Cecconi hasn't been on the shelf for long, so he may only require one or two appearances in the minor leagues before being cleared to rejoin the big-league roster."
6341,Hamstring,Strain,Left,2026-09-08,15.0,IL60,"Verlander (hamstring/hip) threw off the front of the bullpen mound Wednesday, Jason Beck of MLB.com reports.","Verlander has yet to log a true bullpen session since suffering a setback during his last mound session June 17, but Wednesday's round of throwing still marks progress from playing catch. It's unclear how far he is from getting back to throwing traditional bullpen sessions, but he'll likely have to do so within the next couple of weeks to have a chance to build up his workload and make a few more starts in what will be his final season in Major League Baseball."
4718970,Elbow,Surgery,Right,2026-09-25,32.0,IL60,"The Twins plan to re-evaluate Abel (elbow) on Sept. 1, Dan Hayes of The Athletic reports.","Abel was placed on the shelf April 20 due to right elbow inflammation and appeared to be on the cusp of a return in late June before suffering a setback and ultimately requiring arthroscopic surgery July 1. Given that he won't even be cleared to throw until he's re-evaluated and will required an extended ramp-up period, Abel appears likely to remain out until the end of the regular season Sept. 27. Even if Abel avoids any further snags when he's eventually cleared to throw and makes it back from the injured list before the end of the season, he won't have enough time to get built back up as a starter and will be ticketed for a relief role."
4415836,Forearm,Soreness,Right,2026-09-06,13.0,IL15,The Cardinals placed Dobbins on the 15-day injured list Saturday with right forearm tightness.,"Dobbins' forearm forced him to make an early exit from his start Friday against Philadelphia, and although he hasn't been diagnosed with any sort of structural issue, the Cardinals will give him time to recover on the injured list. Quinn Mathews was recalled from Triple-A in a corresponding move to start Saturday's game."
42449,,,,,,,,
32697,Elbow,Inflammation,Right,2026-09-04,11.0,IL60,"Giolito (elbow) has been throwing at the Padres' team complex in Arizona, but his timeline to return is unclear, MLB.com reports.","Giolito landed on the injured list June 23 due to right elbow inflammation but was able to resume light throwing within a week. However, the veteran pitcher hasn't yet progressed to facing hitters, and it's unclear how far away a minor-league rehab assignment may be. By the time Giolito is ready to rejoin the Padres, both Joe Musgrove (elbow) and Nick Pivetta (forearm) may have returned to action, which could impact Giolito's place in the rotation following the trade-deadline acquisitions of Robbie Ray and Casey Mize."
32811,Elbow,Surgery,Right,2027-08-01,342.0,IL60,"Blue Jays manager John Schneider said that Berrios underwent full Tommy John surgery Wednesday in addition to having a stress fracture repaired, Hazel Mae of Sportsnet reports.","The Blue Jays and Berrios went into the operation unsure whether the pitcher would require a ligament repair, and as it turns out he required a full UCL procedure. Berrios has been sidelined all season with elbow problems and will now likely be shelved until at least the second half of the 2027 campaign."
5185136,Elbow,Surgery,Right,2027-09-01,373.0,IL60,"McDonald is scheduled to undergo UCL reconstruction surgery in early August, Alex Pavlovic of NBC Sports Bay Area reports.","McDonald was diagnosed with a sprained UCL in his right elbow Friday, and after seeking out a second opinion, he will opt to go under the knife to address the issue. The procedure will end his season early and likely rule him out for most, if not all, of 2027 as well. He'll close the book on 2026 after logging a 5.12 ERA and 1.31 WHIP in 70.1 innings across 14 starts."
33839,Neck,Pinched Nerve,Not Specified,2026-09-05,12.0,IL15,The Rockies placed Freeland on the 15-day injured list Monday due to cervical radiculopathy.,"Freeland will head to the IL for the second time this season, after shoulder inflammation kept him on the shelf for a brief spell in April. The veteran southpaw dealt with a pinched nerve in his neck during his most recent start last Wednesday against the Dodgers, and after he wasn't able to bounce back as well as the Rockies had hoped, the decision was made to deactivate him. The Rockies will call up Mason Adams from Triple-A Albuquerque on Tuesday to join the rotation as a replacement for Freeland, who will be eligible to return Sept. 5."
5080753,Elbow,Surgery,Left,2027-06-01,281.0,IL60,"Snelling (elbow) is expected to begin a throwing program in September, Christina De Nicola of MLB.com reports.","Snelling is out for the season after undergoing internal brace surgery in May to repair a UCL tear in his left elbow. The fact that Miami has already planned the beginning of his throwing program is a good sign that his recovery is going well, but the left-hander may still have to miss the first few months of the 2027 campaign before returning to the rotation."
4917819,Elbow,Surgery,Right,2027-09-01,373.0,IL60,"Kochanowicz's Tommy John surgery on his right elbow was deemed ""successful,"" per MLB.com.","That's obviously good news for the right-handed hurler, who went under the knife  in mid-June. Kochanowicz will be out for the remainder of this season and for at least a portion of 2027, though he could potentially return to action late in the campaign. He posted a 6.19 ERA, 1.58 WHIP and 47:36 K:BB over 64 frames spanning 13 starts this season before being sidelined."
41085,,,,,,,,
